评分段,书名
0-4,
4-5,
5-6,智能时代的九大生存法则
5-6,当我们不再理解世界
5-6,机器人是怎样工作的（图解版）
6-7,5000天后的世界 : AI扩展人类无限的可能性
6-7,问道前沿：科技如何构筑我们的未来
6-7,硬科技：大国竞争的前沿
6-7,侧扫声呐水下图像处理
6-7,区块链革命 : 比特币底层技术如何改变货币、商业和世界
6-7,大国产业链
6-7,精益创业 : 新创企业的成长思维
6-7,微积分的力量
6-7,俄罗斯航空发动机制造史（上）
6-7,炫技的食品
6-7,最初的爱，最后的故事
6-7,基因传 : 众生之源
6-7,机器情人 : 当情感被算法操控
6-7,产品经理的第二本书
6-7,遥感卫星导论
6-7,能量与文明
6-7,如何思考会思考的机器
6-7,2040世界未來報告書 : 太空淘金、人機共生、移動革命、能源戰爭、ESG策略
6-7,疫後時代如何抓住
6-7,最后的沉思
6-7,Facebook : 一个商业帝国的崛起与逆转
6-7,工业数字孪生与企业应用实践
6-7,晶片戰爭
6-7,智能汽车：新一代技术与应用
6-7,数字化的力量
7-8,这就是ChatGPT
7-8,硅谷之火 : 个人计算机的诞生与衰落（第3版）
7-8,世界文明中的技术
7-8,技术的本质（经典版） : 技术是什么，它是如何进化的
7-8,直到时间的尽头 : 追寻宇宙、生命和意识的最终意义
7-8,癌症密码
7-8,冲向火星 : 马斯克和 SpaceX 的初创故事
7-8,中文打字机 : 一个世纪的汉字突围史
7-8,腾讯传 : 中国互联网公司进化论
7-8,富足（经典版）
7-8,未来呼啸而来
7-8,善数者成：大数据改变中国（中宣部2019年主题出版重点出版物）
7-8,技术与文明 : 我们的时代和未来
7-8,超人类革命 : 生物科技将如何改变我们的未来？
7-8,编程宇宙 : 量子计算机科学家解读宇宙
7-8,平面国 : 多维空间传奇往事
7-8,AI智能化办公：ChatGPT使用方法与技巧从入门到精通
7-8,成为提问工程师
7-8,AIGC重塑教育：AI大模型驱动的教育变革与实践
7-8,Web3：互联网的新世界
7-8,前方的路
7-8,数字化转型认知与实践
7-8,Excel高效办公：文秘与行政办公(AI版) 凤凰高新教育出品 : 凤凰高新教育出品
7-8,我的生活与工作
7-8,重来 : 更为简单有效的商业思维
7-8,身体由我 : 关于了不起的女性身体的一切
7-8,为什么伟大不能被计划 : 对创意、创新和创造的自由探索
7-8,数字抑郁时代 : 新媒体如何改变我们对幸福的感知
7-8,大数据之路 : 阿里巴巴大数据实践
7-8,无线通信简史 : 从电磁波到5G
7-8,AI会取代我们吗？
7-8,换道赛车 : 新能源汽车的中国道路
7-8,智慧社会 : 大数据与社会物理学
7-8,AI的25种可能
7-8,极简算法史 : 从数学到机器的故事
